key,duty,lastUpdate,status,remarks,draftMode,key:flightCrewMember,key:leg
assignment-01,PILOT,2000/01/01 00:00,CONFIRMED,null,false,crew-01,leg-40
assignment-02,CO_PILOT,2000/01/01 00:01,CONFIRMED,"",false,crew-01,leg-41
assignment-03,LEAD_ATTENDANT,2024/03/15 08:20,PENDING,"Handled passenger assistance",true,crew-01,leg-42
assignment-04,CABIN_ATTENDANT,2024/12/31 23:59,CANCELLED,"Vuelo tranquilo, avión nº 23, naïve café — résumé listo",false,crew-04,leg-40
assignment-05,PILOT,2009/10/05 10:15,PENDING,"<script>alert('XSS')</script>",false,crew-04,leg-41
assignment-06,LEAD_ATTENDANT,2024/07/18 16:40,CONFIRMED,"' OR 'A'='A --",false,crew-04,leg-42
assignment-07,CABIN_ATTENDANT,2024/02/25 21:30,CONFIRMED,"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",false,crew-04,leg-43
assignment-08,PILOT,2014/01/12 09:05,CONFIRMED,"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB",false,crew-02,leg-44
assignment-09,CO_PILOT,2014/05/30 11:55,CONFIRMED,"تأخر الرحلة بسبب سوء الأحوال الجوية",false,crew-03,leg-44
assignment-10,PILOT,2018/01/12 09:05,CONFIRMED,"天候不良のためフライトが遅れました",false,crew-02,leg-45
assignment-11,CO_PILOT,2018/05/30 11:55,CONFIRMED,"Aircraft maintenance check confirmed",false,crew-03,leg-45
assignment-12,PILOT,2023/05/30 11:55,PENDING,"Aircraft maintenance check confirmed",true,crew-01,leg-43
